"strategy","v1trans","v2trans","vUptake","relax","R0","virus","other"
"Moderate Elimination",90,50,60,1,3.125,20.78,12.31
"Moderate Elimination",90,50,60,1,3.75,55.16,116.61
"Moderate Elimination",90,50,75,0,2.5,6.57,5.7
"Moderate Elimination",90,50,75,0,3.125,12.9,34.66
"Moderate Elimination",90,50,75,0,3.75,24.92,222.96
"Moderate Elimination",90,50,75,1,2.5,7.51,1.32
"Moderate Elimination",90,50,75,1,3.125,14.83,11.58
"Moderate Elimination",90,50,75,1,3.75,34.44,82.41
"Moderate Elimination",90,50,90,0,2.5,5.37,0.87
"Moderate Elimination",90,50,90,0,3.125,10.2,23.99
"Moderate Elimination",90,50,90,0,3.75,19.99,157.51
"Moderate Elimination",90,50,90,1,2.5,5.9,0
"Moderate Elimination",90,50,90,1,3.125,11.51,9.87
"Moderate Elimination",90,50,90,1,3.75,24.87,66.48
"Moderate Elimination",90,75,60,0,2.5,7.38,4.17
"Moderate Elimination",90,75,60,0,3.125,14.9,40.15
"Moderate Elimination",90,75,60,0,3.75,28.54,238.15
"Moderate Elimination",90,75,60,1,2.5,8.2,0.89
"Moderate Elimination",90,75,60,1,3.125,17.36,12.74
"Moderate Elimination",90,75,60,1,3.75,42.69,104.14
"Moderate Elimination",90,75,75,0,2.5,5.96,2.69
"Moderate Elimination",90,75,75,0,3.125,11.36,21.07
"Moderate Elimination",90,75,75,0,3.75,22.08,150.89
"Moderate Elimination",90,75,75,1,2.5,6.43,1.32
"Moderate Elimination",90,75,75,1,3.125,12.47,11.58
"Moderate Elimination",90,75,75,1,3.75,28.44,77.39
"Moderate Elimination",90,75,90,0,2.5,4.81,0.46
